5,2,Απευθείας πτήσεις,Είδος Ταξιδιού
5,3,Πτήσεις μέσω Αθήνας,Είδος Ταξιδιού
5,4,Ενημέρωση πτήσεων,Άφιξη στο Αεροδρόμιο
5,5,Προσφορές εισιτηρίων,Άλλα
5,6,Άφιξη επιβατών,Άφιξη στο Αεροδρόμιο
5,7,Μετεπιβίβαση επιβατών,Άφιξη στο Αεροδρόμιο
5,8,Ξενοδοχείο στο αεροδρόμιο,Υπηρεσίες Αεροδρομίου
5,9,Τουριστικές πληροφορίες,Άλλα
5,10,Μετατροπή συναλλάγματος,Υπηρεσίες Αεροδρομίου
5,11,Ενοικίαση αυτοκινήτων,Υπηρεσίες Αεροδρομίου
5,12,Αεροπορικές εταιρίες,Άφιξη στο Αεροδρόμιο
5,13,Διαδικασίες ελέγχου ασφαλείας,Έλεγχος και Ασφάλεια
5,14,Απαγορευμένα είδη κατά την πτήση,Τυχόν Περιορισμοί
5,15,Ταξιδεύοντας με κατοικίδια,Τυχόν Περιορισμοί
5,16,Έλεγχος διαβατηρίων,Έλεγχος και Ασφάλεια
5,17,Αναζήτηση αποσκευών ,Άλλα
5,18,Απολεσθέντα αντικείμενα,Έλεγχος και Ασφάλεια
5,19,Φύλαξη αποσκευών,Έλεγχος και Ασφάλεια
5,20,Υπηρεσίες για παιδιά,Υπηρεσίες Αεροδρομίου
5,21,Ιατρικές υπηρεσίες,Υπηρεσίες Αεροδρομίου
5,22,"Τράπεζες, ATMs και ταχυδρομείο",Υπηρεσίες Αεροδρομίου
5,23,Ανταλλακτήρια συναλλάγματος,Υπηρεσίες Αεροδρομίου
5,24,Τέχνη και πολιτισμός,Πολιτισμός
5,25,E-parking,Ηλεκτρονικές Υπηρεσίες
5,26,Χώροι στάθμευσης,Υπηρεσίες Αεροδρομίου
5,27,Διαδικασίες στάθμευσης,Άφιξη στο Αεροδρόμιο
5,28,Βοηθητικές υπηρεσίες μετακίνησης,Υπηρεσίες Αεροδρομίου
5,29,Καταστήματα,Υπηρεσίες Αεροδρομίου
5,30,Εστιατόρια-καφέ,Υπηρεσίες Αεροδρομίου
5,31,Προσφορές και νέα προιόντα,Υπηρεσίες Αεροδρομίου
5,32,Εγγύηση καλύτερης τιμής αγορών,Υπηρεσίες Αεροδρομίου
5,33,Πρόσβαση στο αεροδρόμιο,Άφιξη στο Αεροδρόμιο
5,34,Ταξί και λιμουζίνες,Υπηρεσίες Αεροδρομίου
5,35,Οδηγίες για προκαθορισμένες διαδρομές προς αεροδρόμιο,Άφιξη στο Αεροδρόμιο
5,36,Ηλεκτρονικό check-in,Ηλεκτρονικές Υπηρεσίες
5,37,Πρόσβαση στο διαδίκτυο,Υπηρεσίες Αεροδρομίου
5,38,Εφαρμογές για χρήση στο αεροδρόμιο,Ηλεκτρονικές Υπηρεσίες
5,39,Εμπορικό πάρκο,Υπηρεσίες Αεροδρομίου
5,40,Εκθεσιακό κέντρο,Πολιτισμός
6,1,Πληροφορίες πτήσεων,ΠΤΗΣΕΙΣ
6,2,Απευθείας πτήσεις,ΠΤΗΣΕΙΣ
6,3,Πτήσεις μέσω Αθήνας,ΠΤΗΣΕΙΣ
6,4,Ενημέρωση πτήσεων,ΠΤΗΣΕΙΣ
6,5,Προσφορές εισιτηρίων,ΠΤΗΣΕΙΣ
6,6,Άφιξη επιβατών,ΠΤΗΣΕΙΣ
6,7,Μετεπιβίβαση επιβατών,ΠΤΗΣΕΙΣ
6,8,Ξενοδοχείο στο αεροδρόμιο,ΠΤΗΣΕΙΣ
6,9,Τουριστικές πληροφορίες,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,10,Μετατροπή συναλλάγματος,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,11,Ενοικίαση αυτοκινήτων,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,12,Αεροπορικές εταιρίες,ΠΤΗΣΕΙΣ
6,13,Διαδικασίες ελέγχου ασφαλείας,ΠΤΗΣΕΙΣ
6,14,Απαγορευμένα είδη κατά την πτήση,ΠΤΗΣΕΙΣ
6,15,Ταξιδεύοντας με κατοικίδια,ΠΤΗΣΕΙΣ
6,16,Έλεγχος διαβατηρίων,ΠΤΗΣΕΙΣ
6,17,Αναζήτηση αποσκευών ,ΠΤΗΣΕΙΣ
6,18,Απολεσθέντα αντικείμενα,ΠΤΗΣΕΙΣ
6,19,Φύλαξη αποσκευών,ΠΤΗΣΕΙΣ
6,20,Υπηρεσίες για παιδιά,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,21,Ιατρικές υπηρεσίες,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,22,"Τράπεζες, ATMs και ταχυδρομείο",ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,23,Ανταλλακτήρια συναλλάγματος,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,24,Τέχνη και πολιτισμός,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,25,E-parking,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,26,Χώροι στάθμευσης,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,27,Διαδικασίες στάθμευσης,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,28,Βοηθητικές υπηρεσίες μετακίνησης,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,29,Καταστήματα,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,30,Εστιατόρια-καφέ,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,31,Προσφορές και νέα προιόντα,ΠΤΗΣΕΙΣ
6,32,Εγγύηση καλύτερης τιμής αγορών,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,33,Πρόσβαση στο αεροδρόμιο,ΠΤΗΣΕΙΣ
6,34,Ταξί και λιμουζίνες,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,35,Οδηγίες για προκαθορισμένες διαδρομές προς αεροδρόμιο,ΠΤΗΣΕΙΣ
6,36,Ηλεκτρονικό check-in,ΠΤΗΣΕΙΣ
6,37,Πρόσβαση στο διαδίκτυο,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,38,Εφαρμογές για χρήση στο αεροδρόμιο,ΠΤΗΣΕΙΣ
6,39,Εμπορικό πάρκο,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
6,40,Εκθεσιακό κέντρο,ΠΛΗΡΟΦΟΡΙΕΣ ΓΙΑ ΤΟΥΡΙΣΤΕΣ
7,1,Πληροφορίες πτήσεων,Υπηρεσίες αεροδρομίου
7,2,Απευθείας πτήσεις,Γενικές πληροφορίες πτήσης
7,3,Πτήσεις μέσω Αθήνας,Γενικές πληροφορίες πτήσης
7,4,Ενημέρωση πτήσεων,Υπηρεσίες αεροδρομίου
7,5,Προσφορές εισιτηρίων,Προσφορές αεροδρομίου
7,6,Άφιξη επιβατών,Διαδικασίες αεροδρομίου
7,7,Μετεπιβίβαση επιβατών,Διαδικασίες αεροδρομίου
7,8,Ξενοδοχείο στο αεροδρόμιο,Υπηρεσίες αεροδρομίου
7,9,Τουριστικές πληροφορίες,Υπηρεσίες αεροδρομίου
7,10,Μετατροπή συναλλάγματος,Υπηρεσίες αεροδρομίου
7,11,Ενοικίαση αυτοκινήτων,Μετακίνηση από και προς το αεροδρόμιο
7,12,Αεροπορικές εταιρίες,Γενικές πληροφορίες πτήσης
7,13,Διαδικασίες ελέγχου ασφαλείας,Διαδικασίες αεροδρομίου
7,14,Απαγορευμένα είδη κατά την πτήση,Γενικές πληροφορίες πτήσης
7,15,Ταξιδεύοντας με κατοικίδια,Γενικές πληροφορίες πτήσης
7,16,Έλεγχος διαβατηρίων,Διαδικασίες αεροδρομίου
7,17,Αναζήτηση αποσκευών ,Διαδικασίες αεροδρομίου
7,18,Απολεσθέντα αντικείμενα,Υπηρεσίες αεροδρομίου
7,19,Φύλαξη αποσκευών,Γενικές πληροφορίες πτήσης
7,20,Υπηρεσίες για παιδιά,Υπηρεσίες αεροδρομίου
7,21,Ιατρικές υπηρεσίες,Υπηρεσίες αεροδρομίου
7,22,"Τράπεζες, ATMs και ταχυδρομείο",Υπηρεσίες αεροδρομίου
7,23,Ανταλλακτήρια συναλλάγματος,Υπηρεσίες αεροδρομίου
7,24,Τέχνη και πολιτισμός,Προσφορές αεροδρομίου
7,25,E-parking,Στάθμευση στο αεροδρόμιο
